Coordonnees;sitear;neighbourhood;organisat;photo;governorate;district;householdnum;household;men;women;boys;girls;individual;water_access;electric;openelement;damage;hazards;mines;geo;class;accom;siteclass;scoreclass;longitude;latitude;SSID
"43,913308;34,205458";?? ???? ?????;?? ???? ?????- ???? 302;iom;1425394619753.jpg;Salah al-Din;Al-Daur;d. 6-7;30;35;41;44;55;175;3. Minor;4. None;2. Moderate;1. Major;4. none;4. none;34,205458,43,913308;c. 100-249;improved;informal settlement;3.Moderate;43,913308;34,205458;
"44,8054;33,692138";?? ???????;?? ???????;iom;1427975876398.jpg;Diyala;Baladrooz;d. 6-7;80;102;105;130;140;477;3. Minor;4. None;2. Moderate;1. Major;4. none;4. none;33,692138,44,8054;d. 250-499;improved unfinished;informal settlement;3.Moderate;44,8054;33,692138;
"43,911581;34,207525";??? ?????-??????-? ? ??????-?? ?????? - ?? ?????? - ?????;??? ?????-??????-? ? ??????-?? ?????? - ?? ?????? - ?????;iom;;Salah al-Din;Al-Daur;d. 6-7;9;8;9;12;23;52;3. Minor;4. None;2. Moderate;1. Major;1. Major;1. Major;34,207525,43,911581;b. 50-99;skeleton;Collective Center;2.High;43,911581;34,207525;
"44,5458799694;33,5774892429";?? ??????;?? ??????;iom;1427878785625.jpg;Diyala;Ba'quba;d. 6-7;20;25;35;30;30;120;3. Minor;4. None;2. Moderate;1. Major;4. none;4. none;33,5774892429,44,5458799694;c. 100-249;unfinished finished;informal settlement;3.Moderate;44,54587997;33,57748924;
"44,2674665352;32,3219148559";???? ???? ??? ??? ????;????????;reach_initiative;1426316107387.jpg;Kerbala;Al-Hindiya;d. 6-7;4;8;6;9;7;30;4. None;4. None;4. None;1. Major;4. none;4. none;32,3219148559,44,2674665352;a. 0-49;finished;informal settlement;4.Low;44,26746654;32,32191486;
"47,1450622939;31,8301858474";????? ??????? ????????? ??????;?? ???????;iom;1424936917084.jpg;Missan;Amara;c. 4-5;16;21;18;26;18;83;4. None;4. None;4. None;1. Major;4. none;4. none;31,8301858474,47,1450622939;b. 50-99;finished;Collective Center;3.Moderate;47,14506229;31,83018585;
"44,3227740724;32,1000764059";???? ?????? ?????;????? ??????;reach_initiative;1425551829498.jpg;Najaf;Kufa;c. 4-5;5;7;7;4;7;25;3. Minor;4. None;4. None;1. Major;1. Major;4. none;32,1000764059,44,3227740724;a. 0-49;finished;informal settlement;3.Moderate;44,32277407;32,10007641;
"44,322845465;32,0942959609";???? ???? ??? ?????;???? ?????;reach_initiative;1425548201022.jpg;Najaf;Kufa;c. 4-5;29;35;40;26;30;131;3. Minor;4. None;4. None;1. Major;1. Major;4. none;32,0942959609,44,322845465;c. 100-249;finished;informal settlement;3.Moderate;44,32284547;32,09429596;
"43,2359836020193;36,90943796154";;?????;;1438169278390.jpg;Dahuk;Dahuk;c. 4-5;9;10;10;10;12;42;4. None;4. None;4. None;1. Major;4. none;4. none;36,90943796154,43,2359836020193;a. 0-49;unfinished;informal settlement;3.Moderate;43,2359836;36,90943796;IQ0802-0149
"43,2346151537583;36,9098976838458";;?????;;1438173331540.jpg;Dahuk;Dahuk;c. 4-5;10;7;11;11;17;46;4. None;4. None;4. None;1. Major;4. none;4. none;36,9098976838458,43,2346151537583;a. 0-49;unfinished;informal settlement;3.Moderate;43,23461515;36,90989768;IQ0802-0155
